Model,Test_Loss,Test_MAE,Test_RMSE
Wide_Deep,4394.40185546875,41.65485382080078,66.290283203125
Simple_ANN,150646.90625,387.9162902832031,388.1325988769531
Deep_ANN,227070.796875,475.1282958984375,476.51947021484375
