iter	RMSE
133	13.03729717
134	12.95733147
135	12.86041778
136	12.77957674
137	12.72007087
138	12.63782887
139	12.56988766
140	12.49064812
141	12.43130472
142	12.34008691
143	12.25945782
144	12.19302236
145	12.12694309
146	12.07396837
147	12.01604483
148	11.95767715
149	11.88940351
150	11.81874414
151	11.75834225
152	11.69901674
153	11.63476953
154	11.57989185
155	11.51909788
156	11.47242236
157	11.41293929
158	11.35777088
159	11.30669908
160	11.25561466
161	11.2141296
162	11.17628426
163	11.13411832
164	11.08216481
165	11.04802082
166	11.00562055
167	10.96199976
168	10.92002464
169	10.88160743
170	10.83242749
171	10.78357586
172	10.7467267
173	10.70599017
174	10.66499902
175	10.62603841
176	10.59035523
177	10.55157038
178	10.51473941
179	10.48188606
180	10.44615605
181	10.411024
182	10.37993405
183	10.35188415
184	10.33000748
185	10.29182672
186	10.25584934
187	10.22719149
188	10.19584057
189	10.16896217
190	10.14227859
191	10.11625699
192	10.0872789
193	10.06423941
194	10.03567378
195	10.00589118
196	9.981011166
197	9.957694975
198	9.932175569
199	9.904170883
200	9.880183387
201	9.858101626
202	9.837195723
203	9.8178125
204	9.796862351
205	9.779372747
206	9.755705509
207	9.733999649
208	9.704451962
209	9.67824909
210	9.656282976
211	9.639280181
212	9.618847319
213	9.604690727
214	9.582760311
215	9.558545249
216	9.526449011
217	9.506154831
218	9.489853134
219	9.475920215
220	9.453932963
221	9.439372718
222	9.417645786
223	9.388890302
224	9.374862585
225	9.358643059
226	9.347995753
227	9.331584863
228	9.31438302
229	9.291405692
230	9.273379607
231	9.258297877
232	9.225708624
233	9.21225476
234	9.20042932
235	9.183847956
236	9.170543672
237	9.159684729
238	9.148459855
239	9.137439034
240	9.130403519
241	9.110493444
242	9.086278189
243	9.072246955
244	9.059963732
245	9.04489222
246	9.035952007
247	9.016461464
248	8.998581717
249	8.976428655
250	8.946897124
251	8.929273112
252	8.920119529
253	8.913874203
254	8.895861634
255	8.889897764
256	8.872468888
257	8.865783347
258	8.848433889
259	8.84017297
260	8.832977781
261	8.814039851
262	8.789278359
263	8.776284878
264	8.770961352
265	8.754874399
266	8.728233604
267	8.709789515
268	8.698575365
269	8.664614887
270	8.647906655
271	8.638351398
272	8.623134353
273	8.613736513
274	8.592296001
275	8.583616673
276	8.577764843
277	8.571286196
278	8.566991513
279	8.555584407
280	8.536996262
281	8.531844715
282	8.5280158
283	8.524219435
284	8.518236794
285	8.513527327
286	8.508876472
287	8.486984353
288	8.472050905
289	8.45541258
290	8.438485377
291	8.424730091
292	8.408797085
293	8.394148823
294	8.391192941
295	8.359932367
296	8.348471797
297	8.341273199
298	8.328952412
299	8.325360995
300	8.306695198
301	8.299200163
302	8.293010384
303	8.272353551
304	8.270233555
305	8.264186284
306	8.239705413
307	8.236837206
308	8.221336469
309	8.209468538
310	8.206686655
311	8.204485066
312	8.188710238
313	8.183432658
314	8.168430396
315	8.162870842
316	8.160683157
317	8.146587132
318	8.129346886
319	8.121032243
320	8.118931136
321	8.105210371
322	8.097862573
323	8.071893984
324	8.058279839
325	8.042216849
326	8.02667902
327	8.00232218
328	7.985690229
329	7.973429249
330	7.969416121
331	7.967481859
332	7.965314483
333	7.963437625
334	7.957656782
335	7.955837546
336	7.941526538
337	7.931464576
338	7.928876442
339	7.916844202
340	7.91537985
341	7.9053572
342	7.888784136
343	7.871800714
344	7.864082408
345	7.845855768
346	7.841766278
347	7.828599709
348	7.806454546
349	7.799563641
350	7.78059639
351	7.758589367
352	7.756414213
353	7.741091147
354	7.726115033
355	7.71237921
356	7.695350866
357	7.685174291
358	7.682950965
359	7.68061297
360	7.670587212
361	7.6573727
362	7.653307337
363	7.649548763
364	7.638212416
365	7.635277982
366	7.633709159
367	7.615623983
368	7.603743292
369	7.587098981
370	7.574355382
371	7.561751024
372	7.535901631
373	7.527226711
374	7.506600295
375	7.489651018
376	7.477529398
377	7.46617403
378	7.464568443
379	7.461390649
380	7.449890025
381	7.443296257
382	7.431250503
383	7.419682362
384	7.417063705
385	7.394822489
386	7.379604383
387	7.360480405
388	7.359172779
389	7.357986355
390	7.346467866
391	7.326369595
392	7.311391111
393	7.290476408
394	7.287939768
395	7.269679333
396	7.264373394
397	7.260058813
398	7.248375333
399	7.231546382
400	7.215176913
401	7.203452319
402	7.194200808
403	7.18600898
404	7.170245818
405	7.164442841
406	7.161698882
407	7.147773491
408	7.13212853
409	7.13080575
410	7.119668171
411	7.110385875
412	7.109120311
413	7.09383836
414	7.092404011
415	7.086203304
416	7.074910224
417	7.065859578
418	7.057695984
419	7.05108795
420	7.042396454
421	7.027805475
422	7.013417774
423	6.999472511
424	6.98898842
425	6.974754093
426	6.962778081
427	6.955842148
428	6.953641694
429	6.935654983
430	6.926073613
431	6.910895146
432	6.905519243
433	6.901457574
434	6.900165816
435	6.891837727
436	6.890822613
437	6.876715212
438	6.863490169
439	6.850286749
440	6.844593252
441	6.833464788
442	6.820055426
443	6.811735043
444	6.793964559
445	6.793091562
446	6.777035154
447	6.763489123
448	6.752233432
449	6.742691086
450	6.736348908
451	6.735320691
452	6.729092584
453	6.727055278
454	6.716727446
455	6.714408666
456	6.70785006
457	6.696004384
458	6.679589896
459	6.678637098
460	6.673532481
461	6.672654444
462	6.65767296
463	6.651648876
464	6.636135124
465	6.624300989
466	6.621181407
467	6.60929851
468	6.593346491
469	6.581262241
470	6.571676868
471	6.560635492
472	6.554331181
473	6.540234479
474	6.539364228
475	6.524904433
476	6.509686607
477	6.500660963
478	6.496049965
479	6.486240126
480	6.482129658
481	6.481146785
482	6.47161104
483	6.467085892
484	6.455346341
485	6.443956219
486	6.426695853
487	6.42322541
488	6.422349833
489	6.42174085
490	6.413246979
491	6.410473958
492	6.400371302
493	6.390713799
494	6.380029846
495	6.367321021
496	6.366614607
497	6.361236445
498	6.354379638
499	6.340349078
500	6.332458981
501	6.32120416
502	6.306948525
503	6.303245834
504	6.28911573
505	6.281795662
506	6.274416159
507	6.268990209
508	6.254759215
509	6.247625168
510	6.24689759
511	6.246260097
512	6.231316652
513	6.228290536
514	6.217697853
515	6.211259598
516	6.202725713
517	6.19113371
518	6.181736979
519	6.172194924
520	6.166340981
521	6.165613942
522	6.162695038
523	6.154569027
524	6.143804225
525	6.133604923
526	6.132923846
527	6.12518118
528	6.113301248
529	6.106890457
530	6.09990633
531	6.096478651
532	6.09286158
533	6.08949213
534	6.084851282
535	6.080734828
536	6.080198293
537	6.079017035
538	6.072973923
539	6.063067671
540	6.055596034
541	6.043689518
542	6.043030069
543	6.036717817
544	6.030814892
545	6.019364371
546	6.016724032
547	6.009015516
548	6.0014309
549	5.983767671
550	5.973916149
551	5.962030477
552	5.952448687
553	5.943410375
554	5.940421366
555	5.931573014
556	5.927108191
557	5.92096847
558	5.911559613
559	5.897841146
560	5.885055306
561	5.882096694
562	5.881456203
563	5.872944593
564	5.861536812
565	5.853605748
566	5.846978785
567	5.83950713
568	5.829551276
569	5.823741035
570	5.820074348
571	5.811551357
572	5.807974227
573	5.801854912
574	5.80142477
575	5.800543958
576	5.791307804
577	5.784716861
578	5.778773355
579	5.771938189
580	5.766758984
581	5.756282734
582	5.752223211
583	5.74721103
584	5.743931619
585	5.734657919
586	5.729623193
587	5.717088611
588	5.707198508
589	5.700089832
590	5.693590861
591	5.680969984
592	5.671850797
593	5.663150159
594	5.65934145
595	5.646943907
596	5.646365391
597	5.64116825
598	5.629678153
599	5.618983134
600	5.613833579
601	5.601260914
602	5.600777349
603	5.594067035
604	5.591647464
605	5.579098229
606	5.570044856
607	5.565208853
608	5.558097086
609	5.550975271
610	5.544707848
611	5.542336472
612	5.532664299
613	5.532292807
614	5.522165338
615	5.510885382
616	5.505866448
617	5.501487769
618	5.490268707
619	5.48487774
620	5.473351724
621	5.462102072
622	5.4462573
623	5.428568015
624	5.420914491
625	5.411236167
626	5.406700083
627	5.39828032
628	5.392714507
629	5.384831551
630	5.382480351
631	5.381751544
632	5.372805259
633	5.363060346
634	5.362707972
635	5.356578162
636	5.354205361
637	5.343831002
638	5.341478293
639	5.339518946
640	5.334639708
641	5.326693971
642	5.326178618
643	5.318890787
644	5.31319955
645	5.303026352
646	5.296325777
647	5.284303626
648	5.283828229
649	5.273180534
650	5.269306069
651	5.263726061
652	5.2511637
653	5.250781404
654	5.244603961
655	5.236546662
656	5.232730512
657	5.224417988
658	5.223672166
659	5.220032813
660	5.214897549
661	5.206308737
662	5.205982447
663	5.200708736
664	5.197572659
665	5.195336607
666	5.188964213
667	5.181133746
668	5.171700014
669	5.162849116
670	5.148157529
671	5.140981244
672	5.140400339
673	5.134546913
674	5.126917527
675	5.121856294
676	5.113963331
677	5.109275874
678	5.098160314
679	5.089434166
680	5.085105516
681	5.07536934
682	5.066329819
683	5.057886887
684	5.051677074
685	5.039863393
686	5.032432462
687	5.020169986
688	5.018493685
689	5.012713325
690	5.006106927
691	5.004489824
692	5.00419172
693	5.003880258
694	5.000736335
695	4.991734652
696	4.986760327
697	4.979196132
698	4.969909875
699	4.969550385
700	4.964685406
701	4.964244509
702	4.951415553
703	4.944211994
704	4.944006541
705	4.937480124
706	4.929273239
707	4.919386198
708	4.917227944
709	4.914653455
710	4.908042633
711	4.899843853
712	4.89402721
713	4.886074381
714	4.879908881
715	4.876498539
716	4.867230132
717	4.86391969
718	4.853385689
719	4.852946847
720	4.849715733
721	4.84346698
722	4.841079865
723	4.832424558
724	4.827569311
725	4.817787367
726	4.811561781
727	4.80293272
728	4.792819067
729	4.791180586
730	4.78418478
731	4.779877842
732	4.776245047
733	4.774313792
734	4.766309249
735	4.761697185
736	4.757594875
737	4.754146813
738	4.744387802
739	4.732975519
740	4.729891061
741	4.721634273
742	4.718092183
743	4.707800542
744	4.707534572
745	4.702262982
746	4.695704008
747	4.691578357
748	4.689486843
749	4.68470294
750	4.681783175
751	4.674552163
752	4.669843396
753	4.661065496
754	4.650989948
755	4.643226919
756	4.635127126
757	4.631458953
758	4.627843677
759	4.621174766
760	4.61827817
761	4.613627736
762	4.609040907
763	4.608724556
764	4.603459807
765	4.603031014
766	4.593591905
767	4.589668193
768	4.589096091
769	4.583109719
770	4.575516371
771	4.573907868
772	4.567106631
773	4.566856159
774	4.562676079
775	4.557968863
776	4.554879574
777	4.549492987
778	4.547541965
779	4.538436088
780	4.536137312
781	4.532941729
782	4.529101523
783	4.52481606
784	4.518113917
785	4.514372056
786	4.507523642
787	4.498316829
788	4.491743316
789	4.490186609
790	4.479597413
791	4.471663733
792	4.465449467
793	4.462864103
794	4.460567237
795	4.460369328
796	4.454805707
797	4.454611676
798	4.444816188
799	4.437886282
800	4.432084363
801	4.43161862
802	4.423311894
803	4.418743773
804	4.414952909
805	4.408406473
806	4.404780895
807	4.404535601
808	4.396372672
809	4.388673997
810	4.379335445
811	4.37655504
812	4.37225027
813	4.372089039
814	4.368929222
815	4.362449262
816	4.35563297
817	4.353916787
818	4.348776591
819	4.347698651
820	4.342274678
821	4.338220268
822	4.337871384
823	4.330188152
824	4.321790264
825	4.318935346
826	4.316505578
827	4.312665257
828	4.309945765
829	4.303734482
830	4.303394626
831	4.298632343
832	4.293806818
833	4.28850897
834	4.280709564
835	4.274931357
836	4.266934816
837	4.263833652
838	4.263675136
839	4.262047487
840	4.256041067
841	4.250853438
842	4.247972217
843	4.244403622
844	4.237176276
845	4.227855694
846	4.225133851
847	4.219819892
848	4.218257391
849	4.217899273
850	4.213384403
851	4.206808905
852	4.202500304
853	4.198248827
854	4.188646803
855	4.182111974
856	4.175701455
857	4.172765756
858	4.171180353
859	4.163440396
860	4.163066427
861	4.160844192
862	4.155637468
863	4.150578734
864	4.146614765
865	4.140037512
866	4.135573016
867	4.13537322
868	4.132831861
869	4.128842246
870	4.122213411
871	4.118008647
872	4.116406444
873	4.110845487
874	4.105923557
875	4.102492358
876	4.095526373
877	4.095282551
878	4.090004479
879	4.088996511
880	4.086095098
881	4.08233585
882	4.078163694
883	4.071721275
884	4.06364671
885	4.06332896
886	4.060542757
887	4.05602812
888	4.05585692
889	4.052234464
890	4.046034348
891	4.04056987
892	4.037579333
893	4.037135864
894	4.035472
895	4.031578798
896	4.027786753
897	4.025273942
898	4.018100376
899	4.010928847
900	4.002258831
901	3.997995989
902	3.997757146
903	3.997468406
904	3.993394218
905	3.989552115
906	3.984428905
907	3.977677977
908	3.977488686
909	3.977287064
910	3.974060836
911	3.964157346
912	3.960278805
913	3.960073057
914	3.956517532
915	3.953022807
916	3.948692073
917	3.946705608
918	3.94268288
919	3.939507886
920	3.939323105
921	3.936735712
922	3.93253473
923	3.928805192
924	3.924418026
925	3.921131938
926	3.913149513
927	3.909836414
928	3.902544283
929	3.897454202
930	3.893726879
931	3.886252068
932	3.878763775
933	3.874475699
934	3.871489702
935	3.868356589
936	3.863524171
937	3.857163694
938	3.856956116
939	3.854188463
940	3.849856479
941	3.849726856
942	3.84524366
943	3.844081421
944	3.839663032
945	3.833615416
946	3.829117363
947	3.828629389
948	3.825678032
949	3.822383136
950	3.819920963
951	3.81498825
952	3.812569388
953	3.809920142
954	3.80493163
955	3.799163634
956	3.790414769
957	3.789593525
958	3.789134651
959	3.783849355
960	3.777256184
961	3.771122827
962	3.765705867
963	3.760373303
964	3.756692078
965	3.754637364
966	3.751264534
967	3.746390799
968	3.738052173
969	3.735717307
970	3.730341706
971	3.726937204
972	3.724342436
973	3.722094416
974	3.718376263
975	3.715688183
976	3.712275433
977	3.7111385
978	3.708898535
979	3.703748869
980	3.701730006
981	3.699363997
982	3.696242804
983	3.694823537
984	3.691566027
985	3.691340509
986	3.687312612
987	3.681605734
988	3.681341948
989	3.674881104
990	3.672299951
991	3.669213016
992	3.665735036
993	3.661589989
994	3.658446315
995	3.654816944
996	3.649078759
997	3.644188333
998	3.642416704
999	3.638407515
